0,99,132
1,97,107
2,97,113
3,90,84
4,97,100
5,97,90
6,97,67
7,38,64
8,97,46
9,97,35
10,97,3
11,99,134
12,99,135
13,99,135
14,100,148
15,100,151
16,99,154
17,99,157
18,98,159
19,97,110
20,89,110
21,8,37
22,60,73
23,52,73
24,44,72
25,34,66
26,67,71
27,49,46
28,59,48
29,41,48
30,35,51
31,27,72
32,67,166
33,35,61
34,3,68
35,18,66
36,55,101
37,89,131
38,90,134
39,80,133
40,74,134
41,83,135
42,77,136
43,61,145
44,90,106
45,89,100
46,24,45
47,72,84
48,72,105
49,71,101
50,30,101
51,89,91
52,44,36
53,32,39
54,15,24
55,79,44
56,67,52
57,55,138
58,11,133
59,78,109
60,84,111
61,67,138
62,69,138
63,28,35
64,72,108
65,59,37
66,58,31
67,48,7
68,21,30
69,52,20
70,19,42
71,13,41
72,89,133
73,81,134
74,75,135
75,80,110
76,68,138
77,71,141
78,71,138
79,82,106
80,79,136
81,84,135
82,91,135
83,87,158
84,88,156
85,89,153
86,90,149
87,91,147
88,79,142
89,77,143
90,75,145
91,73,147
92,64,127
93,2,98
94,97,112
95,75,140
96,73,141
97,87,114
98,74,112
99,86,112
100,63,88
101,50,93
102,70,105
103,27,14
104,33,23
105,41,31
106,68,150
107,77,34
108,73,20
109,70,4
110,37,70
111,18,77
112,72,69
113,27,55
114,78,79
115,76,102
116,9,83
117,23,83
118,33,86
119,49,85
120,61,82
121,70,78
122,89,69
123,10,98
124,20,55
125,93,110
126,73,90
127,2,67
128,77,74
129,69,105
130,31,61
131,76,98
132,5,115
133,72,66
134,82,94
135,31,150
136,31,157
137,2,99
138,19,141
139,8,54
140,66,172
141,93,111
142,66,96
143,11,67
144,45,68
145,52,69
146,69,142
147,12,112
148,80,181
149,56,171
150,44,165
151,97,20
152,98,183
153,59,69
154,65,68
155,70,67
156,14,53
157,66,58
158,59,55
159,51,54
160,44,55
161,40,58
162,4,50
163,40,66
164,97,120
165,71,123
166,78,107
167,86,120
168,97,57
169,43,158
170,54,165
171,80,177
172,20,147
173,70,63
174,84,81
175,98,179
176,67,177
177,5,114
178,84,145
179,82,147
180,81,149
181,79,152
182,76,155
183,73,137
184,71,136
185,70,136
186,58,132
187,24,116
188,84,73
189,78,59
190,74,60
191,75,137
192,23,132
193,85,58
194,71,160
195,97,83
196,89,77
197,97,75
198,78,92
199,98,172
200,98,165
201,84,164
202,53,147
203,62,111
204,61,154
205,42,110
206,55,118
207,36,121
208,81,171
209,73,96
210,46,152
211,56,159
212,46,139
213,14,124
214,35,140
215,10,129
216,49,127
217,79,85
218,79,105
219,75,107
220,82,101
221,72,50
222,59,44
223,47,43
224,37,45
225,30,49
226,25,63
227,2,83
228,31,75
229,39,78
230,50,78
231,61,77
232,69,74
233,75,72
234,2,82
235,75,109
236,84,87
237,85,105
238,89,109
239,85,106
240,77,111
241,90,109
242,91,111
243,75,66
244,79,67
245,82,68
246,37,59
247,31,56
248,104,84
249,156,63
250,104,110
251,186,33
252,132,72
253,141,72
254,149,71
255,159,65
256,126,70
257,144,45
258,135,47
259,154,46
260,159,49
261,166,69
262,128,165
263,159,60
264,191,63
265,175,62
266,140,100
267,109,130
268,107,134
269,117,132
270,123,133
271,114,134
272,120,135
273,135,144
274,103,106
275,105,100
276,170,42
277,123,82
278,122,104
279,123,101
280,165,98
281,104,91
282,150,34
283,162,36
284,178,20
285,115,44
286,126,51
287,141,138
288,185,129
289,116,108
290,109,111
291,130,137
292,128,138
293,166,31
294,123,108
295,135,36
296,136,30
297,147,5
298,173,27
299,142,18
300,175,38
301,181,37
302,108,133
303,116,133
304,122,134
305,114,110
306,129,138
307,127,141
308,127,138
309,112,106
310,118,135
311,113,135
312,106,135
313,109,158
314,110,156
315,110,153
316,109,149
317,108,147
318,120,142
319,121,143
320,123,145
321,125,147
322,131,126
323,193,93
324,123,140
325,125,141
326,107,113
327,120,112
328,108,112
329,132,86
330,146,91
331,125,104
332,166,11
333,161,20
334,153,28
335,128,149
336,117,33
337,121,19
338,124,3
339,155,69
340,174,74
341,121,68
342,167,53
343,117,78
344,118,102
345,186,79
346,168,80
347,157,84
348,142,83
349,130,81
350,122,78
351,105,69
352,185,94
353,173,51
354,101,110
355,122,89
356,193,62
357,115,74
358,126,104
359,163,59
360,118,97
361,191,111
362,121,66
363,112,93
364,166,148
365,166,155
366,193,94
367,177,139
368,186,49
369,130,171
370,100,111
371,129,94
372,182,63
373,148,68
374,141,69
375,128,142
376,184,108
377,115,181
378,140,170
379,152,164
380,134,68
381,127,67
382,123,66
383,179,49
384,128,58
385,135,54
386,143,53
387,150,54
388,155,56
389,190,46
390,153,66
391,124,122
392,116,107
393,108,120
394,153,157
395,142,164
396,115,177
397,176,144
398,123,63
399,111,80
400,128,176
401,191,110
402,115,145
403,116,147
404,118,149
405,119,152
406,120,154
407,124,136
408,126,136
409,127,135
410,137,131
411,172,113
412,111,73
413,115,59
414,120,59
415,123,136
416,173,129
417,107,58
418,124,159
419,105,77
420,116,91
421,111,164
422,143,146
423,133,109
424,135,153
425,153,108
426,140,116
427,160,119
428,114,171
429,121,95
430,151,150
431,140,158
432,150,138
433,181,120
434,161,138
435,186,125
436,146,125
437,116,85
438,115,105
439,119,107
440,111,100
441,121,50
442,135,43
443,147,41
444,157,43
445,164,46
446,168,61
447,193,78
448,161,73
449,152,76
450,141,77
451,131,76
452,123,74
453,118,71
454,193,77
455,119,109
456,111,86
457,109,105
458,105,109
459,109,106
460,117,111
461,103,109
462,102,111
463,118,66
464,114,67
465,110,69
466,157,58
467,163,54
468,59,62
469,69,63
470,59,54
471,50,62
472,59,71
473,143,61
474,153,61
475,143,53
476,133,62
477,143,69
